Agency_Name,Planned_Project_Completion_Date_B2,Projected_slash_Actual_Project_Completion_Date_B2,Project_isDelayed,Lifecycle_Cost,Start_Date
Department of Defense,30/09/2017,30/09/2017,0,485.476,12/09/2007
Department of Agriculture,30/11/2012,30/11/2012,0,2.4,01/12/2011
Department of Agriculture,19/11/2012,19/11/2012,0,0.75,30/06/2011
Department of Agriculture,30/12/2011,31/10/2012,306,0.15,15/08/2011
Department of Agriculture,31/10/2012,31/10/2012,0,17.35,01/10/2010
Department of Agriculture,01/04/2012,31/10/2012,213,10.301119,01/10/2011
Department of Agriculture,23/10/2012,23/10/2012,0,0.27,29/04/2011
Department of Agriculture,30/09/2012,30/09/2012,0,5.9004,01/07/2011
Department of Agriculture,30/09/2012,30/09/2012,0,2.306,01/07/2011
Department of Agriculture,30/09/2012,30/09/2012,0,0.795,01/07/2011
Department of Agriculture,30/09/2012,30/09/2012,0,1.404,01/10/2004
Department of Agriculture,30/09/2012,30/09/2012,0,1.017,01/09/2011
Department of Agriculture,30/09/2012,30/09/2012,0,1.713,01/04/2012
Department of Agriculture,30/09/2012,30/09/2012,0,3.3034,01/07/2012
Department of Agriculture,28/09/2012,28/09/2012,0,46.72,01/10/2002
Department of Agriculture,28/09/2012,28/09/2012,0,23.36,01/10/2002
Department of Agriculture,28/09/2012,28/09/2012,0,23.36,01/10/2002
Department of Agriculture,28/09/2012,28/09/2012,0,23.36,01/10/2002
Department of Agriculture,28/09/2012,28/09/2012,0,214.054,04/01/2010
Department of Agriculture,28/09/2012,28/09/2012,0,330.006,01/10/2010
Department of Agriculture,21/09/2012,21/09/2012,0,141.478,27/09/2007
Department of Agriculture,07/09/2012,07/09/2012,0,10.058,03/10/2011
Department of Agriculture,31/03/2012,01/09/2012,154,0.03,01/09/2011
Department of Agriculture,31/08/2012,31/08/2012,0,7.32,01/06/2012
Department of Agriculture,24/08/2012,24/08/2012,0,4.01,01/03/2012
Department of Agriculture,27/04/2012,17/07/2012,81,3,04/01/2011
Department of Agriculture,17/07/2012,17/07/2012,0,3.795235,18/07/2011
Department of Agriculture,30/06/2012,30/06/2012,0,3.3034,01/04/2012
Department of Agriculture,22/06/2012,22/06/2012,0,0.14,12/04/2010
Department of Agriculture,02/06/2012,02/06/2012,0,4.88587,03/06/2011
Department of Agriculture,01/06/2012,01/06/2012,0,0.32,06/08/2010
Department of Agriculture,31/05/2012,31/05/2012,0,4.268,01/11/2011
Department of Agriculture,31/05/2012,31/05/2012,0,1.602,02/04/2012
Department of Agriculture,31/05/2012,31/05/2012,0,4.175,01/03/2012
Department of Agriculture,30/03/2012,21/05/2012,52,0.35,03/10/2011
Department of Agriculture,30/12/2011,17/05/2012,139,0.7,14/02/2011
Department of Agriculture,30/04/2012,30/04/2012,0,0.662,15/08/2011
Department of Agriculture,02/04/2012,02/04/2012,0,0.1,02/03/2009
Department of Agriculture,01/04/2012,01/04/2012,0,0.5,01/06/2007
Department of Agriculture,31/03/2012,31/03/2012,0,8.942,01/10/2011
Department of Agriculture,31/03/2012,31/03/2012,0,71.42413,01/01/2005
Department of Agriculture,31/03/2012,31/03/2012,0,0.7,07/02/2011
Department of Agriculture,31/03/2012,31/03/2012,0,0.179,01/10/2011
Department of Agriculture,31/03/2012,31/03/2012,0,3.3034,01/01/2012
Department of Agriculture,30/03/2012,30/03/2012,0,9.712,03/10/2011
Department of Agriculture,16/03/2012,16/03/2012,0,0.25,01/11/2011
Department of Agriculture,02/03/2012,02/03/2012,0,14.239,06/09/2011
Department of Agriculture,29/02/2012,29/02/2012,0,6.958,01/10/2011
Department of Agriculture,31/12/2011,29/02/2012,60,0.2,01/10/2011
Department of Agriculture,29/02/2012,29/02/2012,0,16.374,01/06/2011
Department of Agriculture,29/02/2012,29/02/2012,0,1071.255,01/06/2011
Department of Agriculture,31/12/2011,31/12/2011,0,0.670791,01/07/2011
Department of Agriculture,30/12/2011,30/12/2011,0,3.3034,01/10/2011
Department of Agriculture,15/12/2011,15/12/2011,0,0.9,01/10/2011
Department of Agriculture,30/11/2011,30/11/2011,0,2.2,01/12/2010
Department of Agriculture,06/10/2011,21/10/2011,15,0.225,01/09/2010
Department of Agriculture,13/10/2011,13/10/2011,0,0.07,03/09/2010
Department of Agriculture,30/09/2011,30/09/2011,0,1.8205,01/04/2011
Department of Agriculture,30/09/2011,30/09/2011,0,4.407,01/07/2011
Department of Agriculture,30/09/2011,30/09/2011,0,4.801,31/08/2010
Department of Agriculture,23/09/2011,23/09/2011,0,1.505,01/04/2011
Department of Agriculture,30/09/2011,20/09/2011,-10,46.96,01/10/2010
Department of Agriculture,30/06/2011,30/06/2011,0,4.407,01/04/2011
Department of Agriculture,31/03/2011,31/03/2011,0,0.01,31/12/2010
Department of Agriculture,30/03/2011,30/03/2011,0,4.407,01/01/2011
Department of Agriculture,30/12/2010,29/12/2010,-1,4.407,01/10/2010
Department of Agriculture,11/06/2010,01/09/2010,82,0.9,06/01/2009
Department of Agriculture,,,,25.468195,01/10/2011
Department of Agriculture,,,,2,01/11/2011
Department of Agriculture,,,,5.470009,01/10/2011
Department of Agriculture,,,,8127.961,01/10/2011
Department of Agriculture,,,,7544.025,01/10/2011
Department of Agriculture,,,,3.155,06/09/2011
Department of Agriculture,,,,8.210163,01/10/2011
Department of Agriculture,,,,17.35,03/10/2011
Department of Agriculture,,,,0.813,01/08/2011
Department of Agriculture,,,,1.728,01/10/2011
Department of Agriculture,,,,1.9,01/10/2011
Department of Agriculture,,,,1.728,01/04/2012
Department of Agriculture,,,,1.9,01/04/2012
Department of Agriculture,,,,5.303,01/10/2012
Department of Agriculture,,,,1.9,01/10/2012
Department of Agriculture,,,,5.303,01/04/2013
Department of Agriculture,,,,1.9,01/04/2013
Department of Agriculture,,,,,
Department of Agriculture,,,,,
Department of Agriculture,,,,,
Department of Agriculture,,,,,
Department of Agriculture,,,,,
Department of Agriculture,,,,,
Department of Agriculture,,,,,
Department of Agriculture,,,,,
Department of Agriculture,,,,1947,01/10/2011
Department of Agriculture,,,,16.498,01/10/2011
Department of Agriculture,,,,6119,01/10/2010
